id,name,image_url
c1,Joe Biden,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/JoeBiden.jpg
c2,Michael Bloomberg,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/MichaelBloomberg.jpg
c3,Pete Buttigieg,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/PeteButtigieg.jpg
c4,Tulsi Gabbard,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/TulsiGabbard.jpg
c5,Amy Klobuchar,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/AmyKlobuchar.jpg
c6,Bernie Sanders,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/BernieSanders.jpg
c7,Tom Steyer,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/TomSteyer.jpg
c8,Elizabeth Warren,https://fairvotereform.github.io/rcv_viz/surveyusa-20200228/images/ElizabethWarren.jpg
