id,name,image_url
c1,Joe Biden,https://fairvotereform.github.io/rcv_viz/images/JoeBiden.jpg
c2,Michael Bloomberg,https://fairvotereform.github.io/rcv_viz/images/MichaelBloomberg.jpg
c3,Pete Buttigieg,https://fairvotereform.github.io/rcv_viz/images/PeteButtigieg.jpg
c4,Tulsi Gabbard,https://fairvotereform.github.io/rcv_viz/images/TulsiGabbard.jpg
c5,Amy Klobuchar,https://fairvotereform.github.io/rcv_viz/images/AmyKlobuchar.jpg
c6,Bernie Sanders,https://fairvotereform.github.io/rcv_viz/images/BernieSanders.jpg
c7,Tom Steyer,https://fairvotereform.github.io/rcv_viz/images/TomSteyer.jpg
c8,Elizabeth Warren,https://fairvotereform.github.io/rcv_viz/images/ElizabethWarren.jpg
